UID	Audio_path	SpeechCorpus	SNR (dB)	fs (Hz)	Text
[URGENT24]fileid_1	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_1.flac	vctk	19.245	48000	She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
[URGENT24]fileid_2	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_2.flac	cv11	13.181	24000	Graduated from postgraduate and doctoral studies.
[URGENT24]fileid_3	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_3.flac	cv11	7.358	24000	This festival is organized by the Ministry of Culture and Islamic Guidance of Iran.
[URGENT24]fileid_4	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_4.flac	cv11	7.931	24000	As he was attempting to pull out the rocks he encountered, he heard footsteps.
[URGENT24]fileid_5	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_5.flac	cv11	14.441	24000	Normally these contacts are not used in motor circuits.
[URGENT24]fileid_6	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_6.flac	cv11	2.775	24000	It earned the fifth position in the general medal table.
[URGENT24]fileid_7	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_7.flac	cv11	-1.200	24000	Lyrics by writer unless otherwise specified.
[URGENT24]fileid_8	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_8.flac	cv11	0.546	24000	It would be very useful if my web browser could synchronize all of its preferences, not just some.
[URGENT24]fileid_9	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_9.flac	cv11	11.015	24000	He first attracted significant attention in "Sweet Lavender" by Arthur Wing Pinero.
[URGENT24]fileid_10	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_10.flac	cv11	15.406	24000	He swam alongside Mexican Miguel Gonzales Lopes and Spaniard Rodolfo Rodriguez.
[URGENT24]fileid_11	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_11.flac	cv11	3.151	24000	The land was awarded to the team during Karim Malahi's time as club chairman.
[URGENT24]fileid_12	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_12.flac	cv11	12.916	24000	Serving during the American Civil War, Berry was a strong supporter of the Union.
[URGENT24]fileid_13	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_13.flac	cv11	12.046	24000	We see him wooing two ladies while goons are chasing after him.
[URGENT24]fileid_14	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_14.flac	cv11	0.835	24000	According to the Constitutive Treaty, the Union's headquarters will be located in Quito, Ecuador.
[URGENT24]fileid_15	./configs/resources/wavs_stereo/test_nonblind/noisy/fileid_15.flac	cv11	-0.403	24000	Senator Bruno lives in Brunswick in Rensselaer County, New York.
